Date,Product_ID,Product_Name,Category,State,City,Campaign,Base_Price,Discount_%,Final_Price,Units_Sold,Revenue,Cost_Per_Unit,Profit
2024-03-20,P001,Product_1,Apparel,West Bengal,Siliguri,,455.73,10,410.16,68,27890.88,303.93,7223.64
2024-03-30,P015,Product_15,Beauty,Rajasthan,Jaipur,Summer Sale,844.57,25,633.43,62,39272.66,461.88,10636.1
2024-04-27,P008,Product_8,Electronics,Telangana,Warangal,Clearance,251.38,10,226.24,66,14931.84,167.7,3863.64
2024-03-13,P017,Product_17,Apparel,Telangana,Warangal,Clearance,385.93,5,366.63,15,5499.45,277.66,1334.55
2024-04-29,P005,Product_5,Electronics,Gujarat,Surat,New Year,381.75,20,305.4,66,20156.4,292.36,860.64
2024-01-30,P020,Product_20,Beauty,Maharashtra,Mumbai,Summer Sale,518.15,30,362.7,57,20673.9,303.49,3374.97
2024-04-26,P013,Product_13,Beauty,Rajasthan,Udaipur,New Year,777.16,30,544.01,18,9792.18,398.62,2617.02
2024-02-14,P009,Product_9,Beauty,Kerala,Kochi,New Year,485.61,25,364.21,60,21852.6,307.47,3404.4
2024-04-19,P011,Product_11,Home,Maharashtra,Nagpur,Summer Sale,692.25,25,519.19,94,48803.86,458.33,5720.84
2024-02-01,P016,Product_16,Electronics,Maharashtra,Mumbai,Clearance,196.85,5,187.01,93,17391.93,152.46,3213.15
2024-04-05,P013,Product_13,Beauty,West Bengal,Siliguri,Clearance,490.39,0,490.39,15,7355.85,316.4,2609.85
2024-04-21,P009,Product_9,Beauty,Delhi,New Delhi,Clearance,346.95,15,294.91,74,21823.34,233.12,4572.46
2024-01-11,P011,Product_11,Home,Uttar Pradesh,Varanasi,Summer Sale,895.92,20,716.74,63,45154.62,521.07,12327.21
2024-03-08,P014,Product_14,Apparel,Telangana,Warangal,New Year,741.56,0,741.56,96,71189.76,585.63,14969.28
2024-03-26,P004,Product_4,Beauty,West Bengal,Kolkata,New Year,310.51,30,217.36,83,18040.88,187.47,2480.87
2024-03-24,P020,Product_20,Beauty,Kerala,Kochi,,838.38,20,670.7,35,23474.5,657.31,468.65
2024-04-15,P011,Product_11,Home,Gujarat,Surat,Summer Sale,444.03,15,377.43,11,4151.73,282.55,1043.68
2024-01-14,P007,Product_7,Home,Telangana,Hyderabad,Clearance,123.19,30,86.23,60,5173.8,68.66,1054.2
2024-03-23,P006,Product_6,Apparel,Tamil Nadu,Madurai,Clearance,719.24,0,719.24,73,52504.52,398.71,23398.69
2024-03-27,P001,Product_1,Apparel,Gujarat,Ahmedabad,,898.41,15,763.65,69,52691.85,532.01,15983.16
2024-04-29,P013,Product_13,Beauty,Delhi,New Delhi,Clearance,475.47,25,356.6,28,9984.8,256.35,2807.0
2024-04-15,P004,Product_4,Beauty,Delhi,New Delhi,Clearance,476.33,5,452.51,25,11312.75,352.09,2510.5
2024-02-10,P006,Product_6,Apparel,Tamil Nadu,Coimbatore,Summer Sale,175.71,30,123.0,58,7134.0,105.81,997.02
2024-04-07,P020,Product_20,Beauty,Delhi,New Delhi,New Year,147.15,10,132.44,99,13111.56,100.17,3194.73
2024-01-21,P013,Product_13,Beauty,West Bengal,Kolkata,New Year,169.13,5,160.67,75,12050.25,85.77,5617.5
2024-03-04,P013,Product_13,Beauty,Gujarat,Surat,Diwali,953.43,30,667.4,7,4671.8,515.46,1063.58
2024-02-11,P004,Product_4,Beauty,Uttar Pradesh,Lucknow,Diwali,351.9,0,351.9,2,703.8,273.76,156.28
2024-04-24,P018,Product_18,Electronics,Tamil Nadu,Coimbatore,Summer Sale,934.22,0,934.22,75,70066.5,584.82,26205.0
2024-01-06,P008,Product_8,Electronics,Tamil Nadu,Chennai,New Year,453.61,30,317.53,59,18734.27,306.18,669.65
2024-02-11,P006,Product_6,Apparel,Rajasthan,Jaipur,Summer Sale,803.45,20,642.76,47,30209.72,461.47,8520.63
2024-04-27,P020,Product_20,Beauty,Rajasthan,Jaipur,Summer Sale,629.52,10,566.57,77,43625.89,421.69,11155.76
2024-03-19,P008,Product_8,Electronics,Gujarat,Vadodara,Diwali,589.78,10,530.8,59,31317.2,389.61,8330.21
2024-04-28,P005,Product_5,Electronics,Delhi,New Delhi,Clearance,344.34,15,292.69,7,2048.83,185.8,748.23
2024-02-12,P019,Product_19,Beauty,Maharashtra,Pune,New Year,594.88,20,475.9,12,5710.8,370.7,1262.4
2024-03-25,P016,Product_16,Electronics,Maharashtra,Pune,New Year,825.08,20,660.06,81,53464.86,468.5,15516.36
2024-01-28,P014,Product_14,Apparel,Telangana,Hyderabad,Diwali,178.83,5,169.89,90,15290.1,94.53,6782.4
2024-01-30,P015,Product_15,Beauty,Kerala,Thiruvananthapuram,New Year,145.5,10,130.95,47,6154.65,110.76,948.93
2024-04-18,P017,Product_17,Apparel,Kerala,Thiruvananthapuram,New Year,351.77,5,334.18,14,4678.52,255.29,1104.46
2024-01-15,P016,Product_16,Electronics,Maharashtra,Mumbai,New Year,883.57,25,662.68,37,24519.16,634.63,1037.85
2024-03-17,P001,Product_1,Apparel,Karnataka,Hubli,New Year,455.12,0,455.12,46,20935.52,303.03,6996.14
2024-02-24,P012,Product_12,Apparel,Karnataka,Bengaluru,New Year,614.8,10,553.32,64,35412.48,362.07,12240.0
2024-03-03,P018,Product_18,Electronics,Delhi,New Delhi,New Year,238.51,30,166.96,20,3339.2,171.77,-96.2
2024-01-18,P005,Product_5,Electronics,Rajasthan,Udaipur,Diwali,424.97,5,403.72,22,8881.84,228.49,3855.06
2024-03-27,P002,Product_2,Apparel,Maharashtra,Pune,Summer Sale,151.01,0,151.01,30,4530.3,93.26,1732.5
2024-04-02,P007,Product_7,Home,Maharashtra,Nagpur,Diwali,822.57,10,740.31,43,31833.33,569.59,7340.96
2024-02-05,P001,Product_1,Apparel,Delhi,New Delhi,Diwali,410.34,10,369.31,52,19204.12,315.43,2801.76
2024-04-25,P009,Product_9,Beauty,Delhi,New Delhi,,209.9,20,167.92,19,3190.48,145.76,421.04
2024-02-01,P011,Product_11,Home,Kerala,Thiruvananthapuram,Clearance,705.15,25,528.86,57,30145.02,382.43,8346.51
2024-03-27,P003,Product_3,Apparel,Uttar Pradesh,Lucknow,Summer Sale,841.92,15,715.63,82,58681.66,432.4,23224.86
2024-03-08,P007,Product_7,Home,West Bengal,Kolkata,,764.16,5,725.95,37,26860.15,400.88,12027.59
2024-01-09,P013,Product_13,Beauty,Karnataka,Mysuru,,343.58,15,292.04,34,9929.36,174.88,3983.44
2024-04-15,P015,Product_15,Beauty,Karnataka,Bengaluru,Summer Sale,240.58,15,204.49,7,1431.43,128.75,530.18
2024-03-01,P001,Product_1,Apparel,Tamil Nadu,Madurai,Diwali,814.44,30,570.11,35,19953.85,548.4,759.85
2024-03-06,P007,Product_7,Home,Tamil Nadu,Madurai,Diwali,674.11,25,505.58,95,48030.1,431.64,7024.3
2024-02-29,P018,Product_18,Electronics,Maharashtra,Nagpur,Summer Sale,490.93,15,417.29,10,4172.9,308.42,1088.7
2024-02-15,P016,Product_16,Electronics,Rajasthan,Jaipur,,698.83,15,594.01,96,57024.96,527.74,6361.92
2024-01-01,P003,Product_3,Apparel,Uttar Pradesh,Varanasi,Diwali,121.18,25,90.89,31,2817.59,85.64,162.75
2024-01-26,P019,Product_19,Beauty,Gujarat,Vadodara,New Year,216.26,15,183.82,85,15624.7,158.7,2135.2
2024-04-06,P008,Product_8,Electronics,Tamil Nadu,Coimbatore,,571.24,30,399.87,12,4798.44,292.5,1288.44
2024-04-01,P020,Product_20,Beauty,Delhi,New Delhi,Diwali,543.01,20,434.41,96,41703.36,319.41,11040.0
2024-01-24,P001,Product_1,Apparel,Karnataka,Hubli,Diwali,802.83,0,802.83,71,57000.93,462.36,24173.37
2024-02-09,P012,Product_12,Apparel,Karnataka,Mysuru,Summer Sale,560.47,30,392.33,19,7454.27,301.41,1727.48
2024-01-12,P002,Product_2,Apparel,Gujarat,Surat,,183.94,0,183.94,75,13795.5,138.7,3393.0
2024-03-06,P019,Product_19,Beauty,Delhi,New Delhi,,236.6,0,236.6,27,6388.2,160.48,2055.24
2024-01-30,P012,Product_12,Apparel,Kerala,Kochi,New Year,789.25,30,552.47,2,1104.94,530.86,43.22
2024-01-10,P007,Product_7,Home,Rajasthan,Udaipur,New Year,440.29,5,418.28,28,11711.84,321.66,2705.36
2024-04-29,P018,Product_18,Electronics,Tamil Nadu,Coimbatore,New Year,723.12,5,686.96,40,27478.4,431.81,10206.0
2024-04-27,P003,Product_3,Apparel,Delhi,New Delhi,Clearance,772.37,15,656.51,42,27573.42,444.36,8910.3
2024-04-23,P017,Product_17,Apparel,Rajasthan,Jaipur,Diwali,217.88,5,206.99,22,4553.78,116.91,1981.76
2024-02-01,P017,Product_17,Apparel,Gujarat,Surat,,140.5,10,126.45,41,5184.45,112.27,581.38
2024-03-13,P018,Product_18,Electronics,Telangana,Warangal,New Year,530.68,10,477.61,66,31522.26,330.83,9687.48
2024-04-07,P019,Product_19,Beauty,West Bengal,Kolkata,Clearance,518.8,15,440.98,73,32191.54,356.32,6180.18
2024-03-05,P002,Product_2,Apparel,Tamil Nadu,Coimbatore,,857.81,10,772.03,39,30109.17,591.39,7044.96
2024-01-27,P003,Product_3,Apparel,Uttar Pradesh,Varanasi,Clearance,705.56,5,670.28,36,24130.08,389.75,10099.08
2024-01-29,P011,Product_11,Home,Gujarat,Surat,,670.07,10,603.06,57,34374.42,529.08,4216.86
2024-04-12,P013,Product_13,Beauty,Kerala,Thiruvananthapuram,New Year,825.38,0,825.38,28,23110.64,453.77,10405.08
2024-04-10,P012,Product_12,Apparel,Delhi,New Delhi,Diwali,550.25,5,522.74,10,5227.4,365.37,1573.7
2024-02-27,P001,Product_1,Apparel,Karnataka,Bengaluru,Summer Sale,640.82,30,448.57,14,6279.98,474.25,-359.52
2024-02-05,P001,Product_1,Apparel,Kerala,Kochi,New Year,465.93,20,372.74,70,26091.8,332.87,2790.9
2024-02-25,P012,Product_12,Apparel,Maharashtra,Mumbai,New Year,754.15,5,716.44,80,57315.2,602.06,9150.4
2024-01-20,P007,Product_7,Home,Maharashtra,Nagpur,,812.97,20,650.38,33,21462.54,610.75,1307.79
2024-04-18,P020,Product_20,Beauty,Tamil Nadu,Madurai,New Year,951.33,10,856.2,67,57365.4,548.05,20646.05
2024-01-21,P011,Product_11,Home,Telangana,Hyderabad,Diwali,344.76,20,275.81,59,16272.79,267.98,461.97
2024-03-18,P006,Product_6,Apparel,Maharashtra,Pune,Diwali,670.34,20,536.27,78,41829.06,424.13,8746.92
2024-03-27,P002,Product_2,Apparel,Uttar Pradesh,Kanpur,Diwali,755.9,30,529.13,16,8466.08,582.66,-856.48
2024-01-15,P005,Product_5,Electronics,Delhi,New Delhi,,600.92,20,480.74,71,34132.54,323.22,11183.92
2024-02-13,P013,Product_13,Beauty,West Bengal,Siliguri,Diwali,184.98,5,175.73,41,7204.93,118.05,2364.88
2024-04-13,P015,Product_15,Beauty,Karnataka,Mysuru,Clearance,684.81,5,650.57,27,17565.39,425.0,6090.39
2024-04-06,P015,Product_15,Beauty,Uttar Pradesh,Lucknow,,359.43,10,323.49,78,25232.22,192.46,10220.34
2024-03-23,P012,Product_12,Apparel,Uttar Pradesh,Lucknow,Summer Sale,112.27,5,106.66,99,10559.34,68.15,3812.49
2024-02-09,P008,Product_8,Electronics,Uttar Pradesh,Kanpur,Diwali,233.4,25,175.05,62,10853.1,154.53,1272.24
2024-03-13,P001,Product_1,Apparel,Kerala,Thiruvananthapuram,Summer Sale,904.96,0,904.96,84,76016.64,606.07,25106.76
2024-03-06,P011,Product_11,Home,Karnataka,Bengaluru,,597.8,30,418.46,25,10461.5,367.77,1267.25
2024-04-28,P010,Product_10,Home,Gujarat,Vadodara,Diwali,646.42,0,646.42,91,58824.22,369.81,25171.51
2024-03-15,P004,Product_4,Beauty,West Bengal,Kolkata,Summer Sale,532.04,30,372.43,44,16386.92,281.45,4003.12
2024-01-29,P019,Product_19,Beauty,Karnataka,Hubli,Clearance,846.75,30,592.72,54,32006.88,536.19,3052.62
2024-02-15,P009,Product_9,Beauty,Telangana,Warangal,Diwali,178.88,5,169.94,16,2719.04,142.87,433.12
2024-01-01,P001,Product_1,Apparel,Telangana,Warangal,Summer Sale,517.43,15,439.82,58,25509.56,332.68,6214.12
2024-01-08,P016,Product_16,Electronics,Gujarat,Vadodara,Clearance,462.43,25,346.82,29,10057.78,350.46,-105.56
2024-02-29,P010,Product_10,Home,Gujarat,Vadodara,New Year,383.72,30,268.6,51,13698.6,233.84,1772.76
2024-03-24,P008,Product_8,Electronics,Gujarat,Vadodara,Diwali,215.49,20,172.39,91,15687.49,115.47,5179.72
2024-04-24,P016,Product_16,Electronics,Kerala,Kochi,Summer Sale,730.55,10,657.5,73,47997.5,541.5,8468.0
2024-01-13,P015,Product_15,Beauty,Uttar Pradesh,Lucknow,Diwali,549.96,30,384.97,91,35032.27,377.14,712.53
2024-02-21,P003,Product_3,Apparel,Uttar Pradesh,Varanasi,,706.33,5,671.01,57,38247.57,413.46,14680.35
2024-03-12,P013,Product_13,Beauty,Gujarat,Ahmedabad,Summer Sale,542.85,30,380.0,86,32680.0,309.3,6080.2
2024-04-24,P003,Product_3,Apparel,Delhi,New Delhi,,212.99,20,170.39,42,7156.38,139.95,1278.48
2024-01-09,P013,Product_13,Beauty,Uttar Pradesh,Kanpur,Summer Sale,530.64,10,477.58,43,20535.94,309.55,7225.29
2024-02-20,P005,Product_5,Electronics,Maharashtra,Pune,Summer Sale,177.43,15,150.82,83,12518.06,133.02,1477.4
2024-01-11,P015,Product_15,Beauty,Tamil Nadu,Chennai,Summer Sale,627.03,5,595.68,95,56589.6,326.06,25613.9
2024-04-07,P005,Product_5,Electronics,Rajasthan,Udaipur,,674.0,15,572.9,27,15468.3,525.56,1278.18
2024-04-25,P020,Product_20,Beauty,Karnataka,Hubli,,548.32,5,520.9,64,33337.6,339.82,11589.12
2024-04-08,P007,Product_7,Home,Delhi,New Delhi,New Year,376.99,0,376.99,42,15833.58,205.9,7185.78
2024-02-16,P007,Product_7,Home,Gujarat,Vadodara,Summer Sale,828.93,0,828.93,59,48906.87,448.21,22462.48
2024-03-08,P003,Product_3,Apparel,Karnataka,Hubli,,428.34,10,385.51,11,4240.61,330.82,601.59
2024-01-12,P003,Product_3,Apparel,Uttar Pradesh,Lucknow,Diwali,270.94,10,243.85,26,6340.1,198.09,1189.76
2024-03-28,P010,Product_10,Home,Rajasthan,Jaipur,Diwali,422.76,20,338.21,37,12513.77,214.04,4594.29
2024-04-27,P017,Product_17,Apparel,Tamil Nadu,Madurai,Clearance,931.7,30,652.19,13,8478.47,680.1,-362.83
2024-02-18,P002,Product_2,Apparel,Telangana,Hyderabad,Summer Sale,372.72,30,260.9,4,1043.6,230.63,121.08
2024-04-14,P003,Product_3,Apparel,Gujarat,Surat,Clearance,708.49,5,673.07,11,7403.77,432.89,2641.98
2024-04-16,P017,Product_17,Apparel,Kerala,Kochi,New Year,325.79,5,309.5,23,7118.5,193.97,2657.19
2024-01-29,P012,Product_12,Apparel,Telangana,Warangal,,972.39,30,680.67,26,17697.42,724.17,-1131.0
2024-02-04,P003,Product_3,Apparel,Karnataka,Bengaluru,New Year,405.37,15,344.56,36,12404.16,222.88,4380.48
2024-04-19,P002,Product_2,Apparel,West Bengal,Kolkata,Clearance,692.29,0,692.29,17,11768.93,368.23,5509.02
2024-04-19,P020,Product_20,Beauty,Tamil Nadu,Chennai,Clearance,419.26,25,314.44,93,29242.92,319.39,-460.35
2024-02-16,P006,Product_6,Apparel,Rajasthan,Udaipur,Summer Sale,894.95,5,850.2,51,43360.2,447.53,20536.17
2024-03-29,P016,Product_16,Electronics,Uttar Pradesh,Kanpur,,654.79,25,491.09,38,18661.42,416.85,2821.12
2024-04-22,P019,Product_19,Beauty,West Bengal,Siliguri,New Year,946.45,10,851.81,22,18739.82,511.66,7483.3
2024-04-21,P015,Product_15,Beauty,Gujarat,Surat,New Year,236.29,15,200.85,10,2008.5,136.75,641.0
2024-01-01,P013,Product_13,Beauty,Karnataka,Hubli,,623.56,0,623.56,91,56743.96,375.02,22617.14
2024-01-17,P001,Product_1,Apparel,Gujarat,Vadodara,Clearance,246.28,15,209.34,60,12560.4,135.16,4450.8
2024-03-11,P004,Product_4,Beauty,Karnataka,Mysuru,Summer Sale,657.97,5,625.07,90,56256.3,371.41,22829.4
2024-01-08,P016,Product_16,Electronics,Uttar Pradesh,Varanasi,Clearance,635.71,10,572.14,73,41766.22,336.66,17190.04
2024-04-25,P014,Product_14,Apparel,Maharashtra,Mumbai,Clearance,410.93,5,390.38,83,32401.54,241.89,12324.67
2024-01-18,P018,Product_18,Electronics,Maharashtra,Nagpur,Diwali,171.35,15,145.65,27,3932.55,116.15,796.5
2024-02-16,P009,Product_9,Beauty,Telangana,Warangal,New Year,254.88,20,203.9,29,5913.1,138.41,1899.21
2024-01-17,P014,Product_14,Apparel,Rajasthan,Udaipur,Clearance,882.94,10,794.65,31,24634.15,599.25,6057.4
2024-02-08,P016,Product_16,Electronics,Telangana,Hyderabad,Diwali,571.3,10,514.17,46,23651.82,415.07,4558.6
2024-03-15,P002,Product_2,Apparel,Uttar Pradesh,Varanasi,Clearance,552.24,0,552.24,30,16567.2,289.4,7885.2
2024-01-18,P017,Product_17,Apparel,Rajasthan,Jaipur,New Year,812.27,0,812.27,12,9747.24,608.06,2450.52
2024-02-27,P008,Product_8,Electronics,Rajasthan,Jaipur,Diwali,376.28,10,338.65,71,24044.15,264.73,5248.32
2024-03-10,P013,Product_13,Beauty,Maharashtra,Nagpur,Summer Sale,988.97,10,890.07,90,80106.3,547.04,30872.7
2024-04-10,P020,Product_20,Beauty,Kerala,Thiruvananthapuram,Clearance,643.0,15,546.55,24,13117.2,399.71,3524.16
2024-02-02,P015,Product_15,Beauty,Karnataka,Mysuru,,480.39,25,360.29,30,10808.7,337.08,696.3
2024-01-27,P002,Product_2,Apparel,Rajasthan,Udaipur,New Year,234.23,10,210.81,12,2529.72,183.91,322.8
2024-01-29,P012,Product_12,Apparel,Rajasthan,Jaipur,,407.66,15,346.51,21,7276.71,205.41,2963.1
2024-01-02,P018,Product_18,Electronics,Uttar Pradesh,Lucknow,Diwali,352.3,5,334.69,62,20750.78,213.3,7526.18
2024-01-03,P003,Product_3,Apparel,Maharashtra,Nagpur,,679.56,0,679.56,44,29900.64,350.9,14461.04
2024-02-06,P006,Product_6,Apparel,Telangana,Warangal,,270.36,30,189.25,82,15518.5,166.26,1885.18
2024-01-11,P020,Product_20,Beauty,Karnataka,Mysuru,Summer Sale,914.98,0,914.98,59,53983.82,511.53,23803.55
2024-04-07,P015,Product_15,Beauty,Karnataka,Mysuru,Clearance,843.71,10,759.34,82,62265.88,488.8,22184.28
2024-01-06,P017,Product_17,Apparel,Tamil Nadu,Chennai,New Year,819.81,10,737.83,22,16232.26,463.56,6033.94
2024-01-16,P016,Product_16,Electronics,Tamil Nadu,Madurai,New Year,519.5,30,363.65,57,20728.05,262.02,5792.91
2024-04-01,P005,Product_5,Electronics,Rajasthan,Jaipur,New Year,879.66,0,879.66,39,34306.74,599.51,10925.85
2024-02-14,P003,Product_3,Apparel,Tamil Nadu,Madurai,,112.9,5,107.25,49,5255.25,75.81,1540.56
2024-02-11,P014,Product_14,Apparel,Rajasthan,Udaipur,New Year,837.65,15,712.0,69,49128.0,570.7,9749.7
2024-02-08,P017,Product_17,Apparel,Rajasthan,Jaipur,Clearance,355.03,15,301.78,59,17805.02,201.67,5906.49
2024-04-20,P014,Product_14,Apparel,Delhi,New Delhi,New Year,436.43,5,414.61,71,29437.31,276.06,9837.05
2024-03-19,P015,Product_15,Beauty,Karnataka,Hubli,Summer Sale,228.66,30,160.06,10,1600.6,128.21,318.5
2024-03-17,P013,Product_13,Beauty,West Bengal,Kolkata,Summer Sale,638.21,25,478.66,12,5743.92,395.27,1000.68
2024-04-28,P008,Product_8,Electronics,West Bengal,Kolkata,Clearance,957.17,5,909.31,67,60923.77,588.5,21494.27
2024-03-25,P010,Product_10,Home,West Bengal,Siliguri,Diwali,274.75,25,206.06,47,9684.82,179.06,1269.0
2024-03-17,P014,Product_14,Apparel,Uttar Pradesh,Lucknow,Clearance,123.23,25,92.42,8,739.36,82.83,76.72
2024-03-17,P003,Product_3,Apparel,Karnataka,Mysuru,Summer Sale,995.12,30,696.58,9,6269.22,664.11,292.23
2024-04-11,P014,Product_14,Apparel,Delhi,New Delhi,Summer Sale,202.19,5,192.08,71,13637.68,107.04,6037.84
2024-04-10,P020,Product_20,Beauty,Telangana,Hyderabad,Clearance,840.11,25,630.08,22,13861.76,556.47,1619.42
2024-04-19,P011,Product_11,Home,Maharashtra,Pune,Diwali,506.07,15,430.16,10,4301.6,396.65,335.1
2024-03-29,P007,Product_7,Home,Telangana,Warangal,Summer Sale,508.85,0,508.85,89,45287.65,397.45,9914.6
2024-03-18,P019,Product_19,Beauty,Karnataka,Hubli,Summer Sale,214.25,25,160.69,26,4177.94,155.77,127.92
2024-04-20,P012,Product_12,Apparel,Tamil Nadu,Coimbatore,,321.26,25,240.94,23,5541.62,256.0,-346.38
2024-01-13,P020,Product_20,Beauty,Tamil Nadu,Coimbatore,Diwali,755.91,0,755.91,25,18897.75,410.28,8640.75
2024-02-29,P009,Product_9,Beauty,Delhi,New Delhi,Diwali,182.03,5,172.93,28,4842.04,95.21,2176.16
2024-01-27,P008,Product_8,Electronics,Tamil Nadu,Chennai,New Year,252.89,30,177.02,92,16285.84,175.14,172.96
2024-03-24,P018,Product_18,Electronics,West Bengal,Kolkata,New Year,789.37,20,631.5,9,5683.5,493.07,1245.87
2024-04-07,P001,Product_1,Apparel,Tamil Nadu,Chennai,Diwali,621.66,25,466.25,68,31705.0,343.86,8322.52
2024-03-20,P008,Product_8,Electronics,Maharashtra,Mumbai,Clearance,137.29,20,109.83,26,2855.58,93.33,429.0
2024-03-09,P011,Product_11,Home,Tamil Nadu,Madurai,Clearance,966.84,10,870.16,94,81795.04,625.66,22983.0
2024-03-06,P015,Product_15,Beauty,Uttar Pradesh,Lucknow,Clearance,187.27,30,131.09,82,10749.38,138.44,-602.7
2024-03-03,P003,Product_3,Apparel,Uttar Pradesh,Kanpur,Diwali,628.93,10,566.04,45,25471.8,404.1,7287.3
2024-02-24,P016,Product_16,Electronics,Karnataka,Hubli,Clearance,803.47,20,642.78,77,49494.06,469.37,13352.57
2024-01-26,P004,Product_4,Beauty,Uttar Pradesh,Kanpur,New Year,804.18,20,643.34,35,22516.9,480.48,5700.1
2024-04-14,P019,Product_19,Beauty,West Bengal,Kolkata,Summer Sale,886.88,30,620.82,45,27936.9,503.21,5292.45
2024-01-23,P011,Product_11,Home,Delhi,New Delhi,,667.65,5,634.27,43,27273.61,529.76,4493.93
2024-02-24,P015,Product_15,Beauty,Uttar Pradesh,Kanpur,Diwali,115.01,15,97.76,19,1857.44,69.04,545.68
2024-01-19,P009,Product_9,Beauty,Delhi,New Delhi,Summer Sale,345.39,10,310.85,60,18651.0,232.62,4693.8
2024-02-18,P011,Product_11,Home,Rajasthan,Udaipur,Diwali,569.7,0,569.7,52,29624.4,432.93,7112.04
2024-04-08,P001,Product_1,Apparel,Telangana,Hyderabad,,961.48,10,865.33,99,85667.67,521.12,34076.79
2024-03-27,P018,Product_18,Electronics,West Bengal,Siliguri,,513.68,10,462.31,38,17567.78,318.9,5449.58
2024-04-21,P016,Product_16,Electronics,Rajasthan,Udaipur,Summer Sale,611.7,0,611.7,22,13457.4,330.66,6182.88
2024-04-17,P004,Product_4,Beauty,Uttar Pradesh,Kanpur,New Year,792.03,25,594.02,45,26730.9,427.62,7488.0
2024-04-13,P018,Product_18,Electronics,Delhi,New Delhi,Clearance,757.16,30,530.01,86,45580.86,578.38,-4159.82
2024-04-24,P017,Product_17,Apparel,Karnataka,Hubli,Clearance,214.81,15,182.59,65,11868.35,130.24,3402.75
2024-04-05,P016,Product_16,Electronics,Delhi,New Delhi,New Year,702.3,15,596.95,43,25668.85,498.79,4220.88
2024-04-06,P007,Product_7,Home,Uttar Pradesh,Lucknow,Diwali,422.03,10,379.83,18,6836.94,283.89,1726.92
2024-02-13,P006,Product_6,Apparel,Telangana,Warangal,Clearance,690.31,10,621.28,23,14289.44,410.39,4850.47
2024-02-11,P011,Product_11,Home,Karnataka,Bengaluru,Diwali,289.1,10,260.19,47,12228.93,146.74,5332.15
2024-01-06,P020,Product_20,Beauty,Tamil Nadu,Chennai,New Year,525.72,25,394.29,48,18925.92,351.79,2040.0
2024-03-30,P002,Product_2,Apparel,Kerala,Thiruvananthapuram,Clearance,397.5,15,337.88,57,19259.16,293.7,2518.26
2024-03-27,P012,Product_12,Apparel,Uttar Pradesh,Kanpur,Diwali,561.86,20,449.49,45,20227.05,363.22,3882.15
2024-02-10,P012,Product_12,Apparel,Delhi,New Delhi,Clearance,385.57,10,347.01,92,31924.92,262.11,7810.8
2024-01-06,P012,Product_12,Apparel,Telangana,Warangal,,264.48,15,224.81,58,13038.98,132.75,5339.48
2024-03-15,P010,Product_10,Home,Rajasthan,Udaipur,,917.21,20,733.77,38,27883.26,483.73,9501.52
2024-04-26,P016,Product_16,Electronics,West Bengal,Siliguri,New Year,626.35,10,563.72,40,22548.8,337.34,9055.2
2024-03-04,P020,Product_20,Beauty,Kerala,Kochi,New Year,524.48,25,393.36,24,9440.64,267.11,3030.0
2024-03-02,P018,Product_18,Electronics,Tamil Nadu,Coimbatore,Summer Sale,595.48,25,446.61,88,39301.68,390.88,4904.24
2024-04-16,P019,Product_19,Beauty,Maharashtra,Mumbai,,677.88,30,474.52,25,11863.0,343.53,3274.75
2024-01-19,P010,Product_10,Home,Maharashtra,Mumbai,Clearance,629.28,30,440.5,16,7048.0,427.33,210.72
2024-04-24,P019,Product_19,Beauty,Karnataka,Hubli,New Year,827.56,0,827.56,25,20689.0,599.95,5690.25
2024-02-03,P011,Product_11,Home,Telangana,Warangal,Summer Sale,330.17,30,231.12,42,9707.04,182.99,2021.46
2024-03-29,P007,Product_7,Home,Rajasthan,Jaipur,Diwali,263.05,30,184.13,55,10127.15,161.89,1223.2
2024-03-10,P004,Product_4,Beauty,Karnataka,Hubli,Summer Sale,599.62,0,599.62,6,3597.72,405.88,1162.44
2024-01-31,P010,Product_10,Home,Maharashtra,Pune,,653.88,10,588.49,48,28247.52,361.73,10884.48
2024-01-18,P004,Product_4,Beauty,West Bengal,Kolkata,Summer Sale,254.65,0,254.65,30,7639.5,181.94,2181.3
2024-01-04,P018,Product_18,Electronics,Tamil Nadu,Coimbatore,Diwali,354.96,0,354.96,73,25912.08,241.89,8254.11
2024-01-26,P003,Product_3,Apparel,Gujarat,Ahmedabad,Clearance,684.44,15,581.77,9,5235.93,405.63,1585.26
2024-02-21,P004,Product_4,Beauty,Karnataka,Bengaluru,New Year,939.48,5,892.51,16,14280.16,563.53,5263.68
2024-01-18,P009,Product_9,Beauty,Kerala,Kochi,New Year,736.31,0,736.31,5,3681.55,492.87,1217.2
2024-02-11,P006,Product_6,Apparel,Karnataka,Bengaluru,Clearance,897.32,0,897.32,93,83450.76,699.48,18399.12
2024-01-08,P001,Product_1,Apparel,Karnataka,Bengaluru,Diwali,762.33,25,571.75,61,34876.75,446.85,7618.9
2024-01-09,P013,Product_13,Beauty,Kerala,Thiruvananthapuram,Diwali,674.64,15,573.44,63,36126.72,384.09,11929.05
2024-02-11,P019,Product_19,Beauty,Gujarat,Surat,,223.87,10,201.48,11,2216.28,126.75,822.03
2024-03-14,P006,Product_6,Apparel,Rajasthan,Udaipur,Diwali,873.2,25,654.9,13,8513.7,613.4,539.5
2024-01-02,P013,Product_13,Beauty,Uttar Pradesh,Varanasi,Summer Sale,920.55,25,690.41,73,50399.93,670.16,1478.25
